"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","470A675627","7F7F066471",2008-09-24,2008-06-26,2008,1549,"Fingerling",387,2
"Purple","H-Pink",NA,NA,"Wolf Point","Garrison","Mix","Mix",2008-09-24,2008-06-26,2008,121,"Fingerling",30,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","115557463A","4310556551",2008-09-29,2008-06-26,2008,343,"Fingerling",86,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","470A675627","115626162A",2008-09-29,2008-06-26,2008,823,"Fingerling",206,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","1F497F1801","115712453A",2008-09-29,2008-06-26,2008,132,"Fingerling",33,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","1F497F1801","1F4849755B",2008-09-29,2008-06-26,2008,216,"Fingerling",54,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","115559532A","1F4A13592B",2008-09-29,2008-06-26,2008,12,"Fingerling",3,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","115557463A","220E5E551E",2008-09-29,2008-06-26,2008,411,"Fingerling",103,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","115557463A","444334021A",2008-09-29,2008-06-26,2008,126,"Fingerling",32,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","1F497F1801","7F7D2D723D",2008-09-29,2008-06-26,2008,357,"Fingerling",89,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","115559532A","7F7D437250",2008-09-29,2008-06-26,2008,143,"Fingerling",36,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","470A675627","7F7E55466D",2008-09-29,2008-06-26,2008,632,"Fingerling",158,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","1F497F1801","7F7F066471",2008-09-29,2008-06-26,2008,17,"Fingerling",4,2
"Purple","H-Black",NA,NA,"Fallon","Garrison","470A675627","7F7F066471",2008-09-29,2008-06-26,2008,773,"Fingerling",193,2
